Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2013","2013","1000 USD","12062","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2014","2014","1000 USD","8389","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2016","2016","1000 USD","8710","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2017","2017","1000 USD","8720","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2018","2018","1000 USD","11671","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2019","2019","1000 USD","13355","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2020","2020","1000 USD","11762","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2021","2021","1000 USD","16089","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2022","2022","1000 USD","16577","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","1995","1995","1000 USD","299","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","1996","1996","1000 USD","310","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","1997","1997","1000 USD","1016","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","1998","1998","1000 USD","1079","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","1999","1999","1000 USD","424","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2000","2000","1000 USD","1106","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2001","2001","1000 USD","1617","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2002","2002","1000 USD","2569","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2003","2003","1000 USD","2631","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2004","2004","1000 USD","4359","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2005","2005","1000 USD","5207","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2006","2006","1000 USD","6626","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2007","2007","1000 USD","10088","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2008","2008","1000 USD","6419","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2009","2009","1000 USD","7947","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2010","2010","1000 USD","4734","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2011","2011","1000 USD","2417","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01359.90","Other fruits, n.e.c.","2012","2012","1000 USD","6829","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","1995","1995","1000 USD","26147","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2002","2002","1000 USD","118483","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2003","2003","1000 USD","147109","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2004","2004","1000 USD","199656","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2005","2005","1000 USD","250743","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2006","2006","1000 USD","327508","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2007","2007","1000 USD","241309","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2008","2008","1000 USD","371755","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2009","2009","1000 USD","357129","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2010","2010","1000 USD","519197","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2011","2011","1000 USD","581742","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2012","2012","1000 USD","569100","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2013","2013","1000 USD","746794","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2014","2014","1000 USD","751457","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2015","2015","1000 USD","591851","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2016","2016","1000 USD","869516","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2017","2017","1000 USD","1051070","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2018","2018","1000 USD","899523","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2019","2019","1000 USD","1062846","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2020","2020","1000 USD","1014848","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2021","2021","1000 USD","971527","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2002","2002","1000 USD","18668","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2003","2003","1000 USD","24705","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2004","2004","1000 USD","26807","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2005","2005","1000 USD","21790","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2006","2006","1000 USD","27860","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2007","2007","1000 USD","39955","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2008","2008","1000 USD","46593","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2009","2009","1000 USD","56488","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2010","2010","1000 USD","67590","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2011","2011","1000 USD","74084","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2012","2012","1000 USD","94862","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2013","2013","1000 USD","114781","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2014","2014","1000 USD","125903","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2015","2015","1000 USD","105816","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2016","2016","1000 USD","100461","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2017","2017","1000 USD","116572","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2018","2018","1000 USD","114288","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2019","2019","1000 USD","118625","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2020","2020","1000 USD","109764","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2021","2021","1000 USD","103525","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","01312","Bananas","2010","2010","1000 USD","356531","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","01312","Bananas","2011","2011","1000 USD","546484","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","01312","Bananas","2012","2012","1000 USD","1504063","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","01312","Bananas","2013","2013","1000 USD","919991","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","01312","Bananas","2014","2014","1000 USD","1075833","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01312","Bananas","2008","2008","1000 USD","413","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2008","2008","1000 USD","188","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2019","2019","1000 USD","427","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2020","2020","1000 USD","424","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2021","2021","1000 USD","427","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2022","2022","1000 USD","389","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","1992","1992","1000 USD","212690","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","1993","1993","1000 USD","152348","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","1994","1994","1000 USD","141022","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","1995","1995","1000 USD","160480","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","1996","1996","1000 USD","170718","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","1997","1997","1000 USD","178920","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","1998","1998","1000 USD","144765","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","1999","1999","1000 USD","167484","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2000","2000","1000 USD","116723","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2001","2001","1000 USD","142952","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2002","2002","1000 USD","321000","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2003","2003","1000 USD","482303","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2004","2004","1000 USD","570048","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2005","2005","1000 USD","565374","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2006","2006","1000 USD","571552","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2008","2008","1000 USD","123982","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2009","2009","1000 USD","88070","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2010","2010","1000 USD","99695","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2011","2011","1000 USD","174928","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2012","2012","1000 USD","203116","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2013","2013","1000 USD","186197","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01341","Apples","2014","2014","1000 USD","124777","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","1994","1994","1000 USD","60064","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","1995","1995","1000 USD","80087","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","1996","1996","1000 USD","57521","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","1997","1997","1000 USD","73683","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","1998","1998","1000 USD","74709","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","1999","1999","1000 USD","60755","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2000","2000","1000 USD","62681","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2001","2001","1000 USD","67174","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2002","2002","1000 USD","42837","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2003","2003","1000 USD","43799","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2004","2004","1000 USD","53646","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2005","2005","1000 USD","60794","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2006","2006","1000 USD","78935","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2007","2007","1000 USD","83779","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2008","2008","1000 USD","69901","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2009","2009","1000 USD","51732","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2010","2010","1000 USD","44386","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2011","2011","1000 USD","49727","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2012","2012","1000 USD","66843","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2013","2013","1000 USD","66985","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","01312","Bananas","2014","2014","1000 USD","64203","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","01341","Apples","1997","1997","1000 USD","8867","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","01341","Apples","1998","1998","1000 USD","8066","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","01341","Apples","1999","1999","1000 USD","5036","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","01341","Apples","2000","2000","1000 USD","3493","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","01341","Apples","2001","2001","1000 USD","5776","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","01341","Apples","2002","2002","1000 USD","7184","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","01341","Apples","2003","2003","1000 USD","13594","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","01341","Apples","2004","2004","1000 USD","17799","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","01341","Apples","2005","2005","1000 USD","27387","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","01341","Apples","2006","2006","1000 USD","42956","E","Estimated value"
